📺测试频道,#genre#
翡翠台,http://over.qiyuevod.com/coetv/hkcs.php?id=c1
明珠台,http://over.qiyuevod.com/coetv/hkcs.php?id=c2
TVB J2,http://over.qiyuevod.com/coetv/hkcs.php?id=c3
无线新闻,http://over.qiyuevod.com/coetv/hkcs.php?id=c4
无线财经,http://over.qiyuevod.com/coetv/hkcs.php?id=c5
ViuTV,http://over.qiyuevod.com/coetv/hkcs.php?id=c6
ViuTVSix,http://over.qiyuevod.com/coetv/hkcs.php?id=c7
RTHK 31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
RTHK 32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
台视,rtmp://9sv2.mine.nu/sat/tv071.flv
台视,http://60.248.77.83/sat/tv071.flv
中视,rtmp://9sv2.mine.nu/sat/tv091.flv
中视,http://60.248.77.83/sat/tv091.flv
民视,rtmp://9sv2.mine.nu/sat/tv051.flv
民视,http://60.248.77.83/sat/tv051.flv
华视,rtmp://9sv2.mine.nu/sat/tv111.flv
华视,http://60.248.77.83/sat/tv111.flv
镜新闻,http://194.87.101.118:9501/live.m3u8?c=10
TVBS新闻,http://194.87.101.118:9501/live.m3u8?c=5
TVBS新闻,rtmp://9sv2.mine.nu/sat/tv551.flv
TVBS新闻,http://60.248.77.83/sat/tv551.flv
TVBS欢乐,rtmp://9sv2.mine.nu/sat/tv421.flv
TVBS欢乐,http://60.248.77.83/sat/tv421.flv
台视新闻,http://194.87.101.118:9501/live.m3u8?c=4
中视新闻,http://194.87.101.118:9501/live.m3u8?c=6
民视新闻,http://194.87.101.118:9501/live.m3u8?c=11
公视新闻,http://194.87.101.118:9501/live.m3u8?c=8
三立新闻,http://194.87.101.118:9501/live.m3u8?c=12
中天新闻,http://194.87.101.118:9501/live.m3u8?c=7
中天亚洲,http://194.87.101.118:9501/live.m3u8?c=3
东森新闻,http://194.87.101.118:9501/live.m3u8?c=9
东森财经,rtmp://9sv2.mine.nu/sat/tv571.flv
东森财经,http://60.248.77.83/sat/tv571.flv
东森超视,http://171.108.239.100:8020/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
东森超视,http://171.108.239.110:8020/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
纬来日本,rtmp://9sv2.mine.nu/sat/tv771.flv
纬来日本,http://60.248.77.83/sat/tv771.flv
纬来育乐,rtmp://9sv2.mine.nu/sat/tv701.flv
纬来育乐,http://60.248.77.83/sat/tv701.flv
纬来体育,rtmp://9sv2.mine.nu/sat/tv721.flv
纬来体育,http://60.248.77.83/sat/tv721.flv
东森电影,http://171.108.239.100:8020/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
东森电影,http://171.108.239.110:8020/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
东森洋片,http://171.108.239.100:8020/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
东森洋片,http://171.108.239.110:8020/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥时代,http://171.108.239.100:8020/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥时代,http://171.108.239.110:8020/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
天映经典,http://171.108.239.100:8020/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
天映经典,http://171.108.239.110:8020/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
中国电影,http://171.108.239.100:8020/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
中国电影,http://171.108.239.110:8020/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
私人影院,http://171.108.239.100:8020/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
私人影院,http://171.108.239.110:8020/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
纬来体育,http://cloud.yumixiu768.com/tmp/123.m3u8
ELEVEN1,rtmp://9sv2.mine.nu/sat/tv731.flv
ELEVEN1,http://60.248.77.83/sat/tv731.flv
ELEVEN2,rtmp://9sv2.mine.nu/sat/tv741.flv
ELEVEN2,http://60.248.77.83/sat/tv741.flv
MOMO综合,rtmp://9sv2.mine.nu/sat/tv761.flv
MOMO综合,http://60.248.77.83/sat/tv761.flv
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
大爱1台,https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大爱2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8


📺网通多线,#genre#
CCTV1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226290/1/index.m3u8?fmt=ts2hls
CCTV1,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV2,http://39.134.65.162/PLTV/88888888/224/3221225599/index.m3u8#http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=5353323539453949720&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=#http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls


CCTV3,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226263/1/index.m3u8?fmt=ts2hls

CCTV3,http://139.9.188.172:5678/sxg.php?id=CCTV-3H265_4000
